94	54	320
94	79	145
94	60	99
94	12	81
95	50	69
95	30	44
95	49	42
95	16	21
95	12	10
95	52	4
95	28	1
95	17	1
96	12	92
96	10	55
97	71	130
97	12	6
98	35	267
98	60	128
98	12	102
98	46	9
99	60	65
99	22	1
100	12	3
100	56	1
100	30	1
101	51	7
101	63	5
102	71	370
102	46	27
103	55	211
103	12	78
103	50	32
103	48	1
104	79	99
104	12	44
104	65	1
105	21	420
105	60	129
105	76	8
105	62	1
105	2	1
106	71	277
106	12	151
106	7	41
106	29	27
106	48	2
107	12	35
107	24	11
108	70	189
108	12	129
108	49	54
108	29	5
108	4	3
108	56	1
108	52	1
109	21	297
109	60	116
109	12	40
109	49	35
110	35	77
110	36	48
110	50	35
110	60	7
111	70	2
111	63	1
111	35	1
112	51	27
112	12	15
112	46	2
113	51	60
113	6	21
113	60	11
114	51	284
114	12	120
114	60	76
115	51	296
115	12	48
115	55	8
116	74	130
117	51	74
117	12	36
117	46	19
117	55	1
118	51	67
118	12	28
118	67	2
119	39	81
119	46	43
120	39	150
120	46	64
121	38	160
121	60	102
121	12	14
121	14	1
122	39	505
122	50	298
122	12	147
122	16	63
122	22	1
123	60	82
123	39	74
123	49	3
123	59	1
123	20	1
124	39	110
124	46	62
124	4	6
125	33	61
125	43	2
126	39	46
126	12	33
126	49	30
126	19	4
127	38	102
127	12	55
127	33	16
128	38	164
128	39	122
128	12	19
129	38	22
129	39	8
129	48	6
130	39	89
130	12	23
130	29	12
131	33	79
131	12	39
131	47	2
132	57	35
132	39	11
132	74	1
132	12	1
133	59	18
133	5	9
133	39	6
133	12	2
134	39	458
134	12	34
134	6	30
134	30	1
135	38	266
136	39	18
136	12	6
136	57	1
137	33	76
137	50	1
138	39	58
138	60	11
139	73	51
139	36	34
139	12	12
140	73	386
140	12	93
140	60	47
140	61	12
140	5	1
141	14	1392
141	66	16
141	12	15
142	73	21
142	12	9
142	1	1
143	73	27
143	63	4
144	73	34
144	5	6
145	73	177
145	12	75
146	11	104
146	12	27
146	73	20
147	73	15
147	12	10
148	73	58
148	12	17
148	53	12
148	65	1
149	73	49
149	60	18
149	12	18
149	36	10
149	61	7
149	59	1
150	57	5
150	20	1
151	73	40
151	12	3
152	73	110
152	12	38
153	73	23
153	12	11
154	73	26
154	12	14
155	66	324
155	12	30
156	38	38
156	32	25
156	60	14
157	38	403
157	12	43
157	36	1
158	3	150
158	12	54
158	55	3
158	56	1
159	38	217
159	12	32
159	20	29
159	55	18
160	3	110
160	12	57
160	50	5
161	3	138
161	60	117
161	50	57
161	61	23
161	49	11
161	12	1
162	3	167
162	12	84
162	27	46
162	57	1
163	35	37
163	76	19
163	22	17
164	69	35
164	12	21
165	10	456
165	12	75
166	49	154
166	12	25
167	54	230
167	12	98
168	54	166
168	12	78
169	11	1675
169	12	377
169	22	1
170	12	13
170	51	4
170	30	1
171	55	62
171	37	25
172	37	33
173	37	14
173	3	3
173	4	1
174	37	56
174	12	23
175	37	190
175	53	1
176	37	19
176	13	1
177	37	155
178	33	33
178	37	14
178	79	1
178	6	1
179	37	153
179	50	38
179	12	21
179	64	13
179	42	1
180	37	46
181	37	52
181	12	8
182	37	76
182	12	9
183	37	76
183	12	18
184	37	70
184	12	25
185	37	91
185	46	16
185	12	16
185	56	1
186	37	32
186	77	1
187	37	123
187	60	38
187	12	38
188	37	47
188	12	12
189	37	11
190	37	59
190	60	56
190	46	8
191	37	33
192	37	104
192	12	87
193	22	189
193	68	2
193	56	1
193	46	1
194	22	50
194	60	14
195	22	25
196	22	64
197	22	172
197	46	19
197	68	1
198	22	80
198	34	1
199	27	158
199	50	126
199	12	104
199	64	9
199	73	1
200	60	121
200	76	62
200	64	13
200	21	12
200	19	7
200	16	1
201	33	338
201	8	64
201	12	46
201	25	4
201	75	1
202	27	479
202	12	61
202	33	1
203	27	347
203	12	85
204	27	188
204	12	64
204	71	1
205	20	50
205	46	10
205	13	1
206	3	88
206	38	84
206	12	79
206	20	45
206	50	32
206	10	1
207	20	63
207	32	47
207	39	1
208	60	81
208	50	59
208	3	50
208	21	2
209	57	151
209	44	18
209	20	16
210	57	23
210	53	1
210	9	1
211	57	244
211	60	69
211	49	13
212	57	273
212	46	106
213	57	178
213	46	25
213	9	1
213	6	1
214	57	21
214	35	8
214	18	2
215	59	49
215	46	30
215	22	4
216	51	8
216	57	5
217	45	81
217	12	10
217	52	1
218	20	697
218	38	143
218	12	24
218	66	1
219	72	149
219	12	87
219	50	65
219	3	55
220	60	45
220	19	41
221	19	521
222	19	120
222	12	21
223	12	11
223	19	5
224	19	68
224	12	21
224	64	1
224	44	1
225	19	101
225	12	17
225	32	8
226	19	83
226	12	36
226	39	3
227	15	125
227	46	16
228	19	598
228	22	1
229	19	29
229	2	2
230	71	31
230	12	30
230	76	26
230	19	16
231	12	20
231	19	13
231	28	8
231	76	5
232	76	43
232	60	29
232	19	25
232	12	16
